Max: 11개 	 the
-----------------------
Min: 1개 	 a
Min: 1개 	 alfred
Min: 1개 	 back
Min: 1개 	 beach
Min: 1개 	 behind
Min: 1개 	 black
Min: 1개 	 blown
Min: 1개 	 blows
Min: 1개 	 bottoms
Min: 1개 	 brown
Min: 1개 	 by
Min: 1개 	 chambers
Min: 1개 	 combing
Min: 1개 	 dare
Min: 1개 	 drown
Min: 1개 	 eat
Min: 1개 	 flannel
Min: 1개 	 girls
Min: 1개 	 heard
Min: 1개 	 human
Min: 1개 	 in
Min: 1개 	 j
Min: 1개 	 lingered
Min: 1개 	 love
Min: 1개 	 me
Min: 1개 	 mermaids
Min: 1개 	 not
Min: 1개 	 on
Min: 1개 	 part
Min: 1개 	 peach
Min: 1개 	 prufrock
Min: 1개 	 red
Min: 1개 	 riding
Min: 1개 	 rolled
Min: 1개 	 seaward
Min: 1개 	 seaweed
Min: 1개 	 seen
Min: 1개 	 sing
Min: 1개 	 singing
Min: 1개 	 song
Min: 1개 	 that
Min: 1개 	 them
Min: 1개 	 they
Min: 1개 	 think
Min: 1개 	 till
Min: 1개 	 upon
Min: 1개 	 us
Min: 1개 	 voices
Min: 1개 	 wake
Min: 1개 	 walk
Min: 1개 	 water
Min: 1개 	 when
Min: 1개 	 will
Min: 1개 	 wind
Min: 1개 	 with
Min: 1개 	 wreathed
